,,,,,,,,,,,
,Day,Date,Open,High,Low,Close,SMAVG (50) on Close,SMAVG (100) on Close,SMAVG (200) on Close,Volume,SMAVG (150
,We,3/7/2018,9.49,9.632,9.23,9.52,9.1612,9.9259,10.4068,73517,83886
,Tu,3/6/2018,9.7,9.7,9.1799,9.64,9.1472,9.933,10.4278,133.799k,82032
,Mo,3/5/2018,9.19,9.76,9.08,9.63,9.1298,9.9385,10.4504,119.435k,77100
,,,,,,,,,,,
,Fr,3/2/2018,8.73,9.33,8.37,9.26,9.119,9.9491,10.4679,93327,76007
,Th,3/1/2018,8.5,8.98,8.447,8.82,9.1148,9.9635,10.4916,142.003k,73593
,We,2/28/2018,8.44,8.515,8.25,8.36,9.1206,9.9847,10.5133,85564,69539
,Tu,2/27/2018,8.53,8.6198,8.35,8.43,9.1438,10.0087,10.5355,22003,74489
,Mo,2/26/2018,8.63,8.66,8.42,8.53,9.1794,10.0368,10.5585,55995,82570
,,,,,,,,,,,
,Fr,2/23/2018,8.38,8.701,8.27,8.64,9.2164,10.0633,10.5724,91809,88592
,Th,2/22/2018,8.4,8.47,8.21,8.37,9.2516,10.0905,10.5818,39743,85259
,We,2/21/2018,8.3,8.48,8.16,8.4,9.3044,10.1202,10.594,70639,85954
,Tu,2/20/2018,8.21,8.53,8.2001,8.33,9.3656,10.1474,10.6039,55173,84981
,,,,,,,,,,,
,Fr,2/16/2018,8.25,8.45,8.22,8.27,9.427,10.1736,10.6122,80474,88375
,Th,2/15/2018,8.4,8.44,8.21,8.3,9.4948,10.1937,10.6228,84676,86738
,We,2/14/2018,8.4,8.563,8.28,8.31,9.5672,10.2135,10.6321,110.135k,85737
,Tu,2/13/2018,8.45,8.5,8.4,8.45,9.6432,10.2333,10.641,45700,82866
,Mo,2/12/2018,8.26,8.59,8.22,8.49,9.718,10.2519,10.6492,59822,82816
,,,,,,,,,,,
,Fr,2/9/2018,8.53,8.53,8.04,8.21,9.7946,10.272,10.6573,103.041k,85003
,Th,2/8/2018,8.8,8.8,8.39,8.42,9.8748,10.2929,10.6685,57120,85744
,We,2/7/2018,8.29,8.88,8.29,8.76,9.9458,10.3085,10.6769,81186,88931
,Tu,2/6/2018,8.05,8.5999,8.05,8.36,10.0046,10.3208,10.6825,159.825k,88447
,Mo,2/5/2018,8.78,8.9,8.3,8.38,10.0726,10.3335,10.6895,143.214k,94767
,,,,,,,,,,,
,Fr,2/2/2018,9.66,9.66,8.9,8.95,10.1378,10.3431,10.6973,146.32k,97105
,Th,2/1/2018,9.74,9.85,9.68,9.78,10.189,10.3426,10.7008,41824,102.477k
,We,1/31/2018,9.81,10.03,9.68,9.82,10.2234,10.3295,10.7006,50162,115.322k
,Tu,1/30/2018,9.77,9.85,9.7408,9.77,10.2538,10.3164,10.6999,56041,120.021k
,Mo,1/29/2018,10.11,10.28,9.785,9.85,10.279,10.3025,10.6981,106.086k,126.238k
,,,,,,,,,,,
,Fr,1/26/2018,10.37,10.47,10.22,10.31,10.3108,10.288,10.6965,55924,131.89k
,Th,1/25/2018,10.45,10.4999,10.21,10.37,10.3308,10.266,10.6931,69656,135.994k
,We,1/24/2018,10.15,10.44,10.15,10.39,10.3298,10.2432,10.6883,67067,144.024k
,Tu,1/23/2018,10.28,10.29,10.07,10.23,10.322,10.2182,10.6843,44949,147.146k
,Mo,1/22/2018,10.02,10.39,10.02,10.31,10.3208,10.1947,10.6815,92631,164.386k
,,,,,,,,,,,
,Fr,1/19/2018,9.73,10.14,9.63,10.02,10.3182,10.1701,10.6776,114.149k,185.813k
,Th,1/18/2018,9.72,9.92,9.53,9.75,10.3242,10.149,10.6766,104.929k,189.542k
,We,1/17/2018,9.67,9.76,9.48,9.72,10.3358,10.1299,10.6772,73929,192.168k
,Tu,1/16/2018,9.96,10.14,9.4336,9.55,10.3496,10.1129,10.6796,254.618k,198.122k
,,,,,,,,,,,
,Fr,1/12/2018,9.85,10.05,9.78,9.92,10.366,10.0939,10.6826,178.295k,194.001k
,Th,1/11/2018,9.85,10.05,9.72,9.74,10.3802,10.068,10.684,226.899k,193.29k
,We,1/10/2018,9.67,9.85,9.39,9.84,10.3938,10.0396,10.6853,234.489k,193.986k
,Tu,1/9/2018,9.67,9.815,9.49,9.7,10.4046,10.0113,10.6861,120.656k,195.133k
,Mo,1/8/2018,9.49,9.71,9.305,9.66,10.4226,9.9889,10.6876,149.298k,224.367k
,,,,,,,,,,,
,Fr,1/5/2018,9.25,9.54,9.15,9.51,10.4412,9.9686,10.6891,190.863k,232.042k
,Th,1/4/2018,9.13,9.28,9.03,9.27,10.4652,9.9526,10.6903,117.489k,229.585k
,We,1/3/2018,8.84,9.25,8.84,9.05,10.4908,9.9425,10.6936,190.098k,226.675k
,Tu,1/2/2018,8.41,8.9622,8.4058,8.87,10.5246,9.9368,10.6987,113.895k,224.724k
,,,,,,,,,,,
,Fr,12/29/2017,8.7,8.88,8.38,8.4,10.5492,9.9469,10.7066,303.549k,227.211k
,Th,12/28/2017,8.99,9.08,8.6,8.67,10.5844,9.9606,10.7156,414.037k,212.947k
,We,12/27/2017,9.02,9.38,8.91,9.07,10.6112,9.9739,10.7227,170.085k,189.657k
,Tu,12/26/2017,8.61,8.9764,8.5762,8.95,10.6356,9.9852,10.7264,144.323k,182.431k
,,,,,,,,,,,
,Fr,12/22/2017,8.75,9.07,8.7,8.71,10.6578,9.9986,10.7325,163.238k,179.783k
,Th,12/21/2017,8.78,9,8.76,8.82,10.6906,10.0209,10.7391,192.799k,174.854k
,We,12/20/2017,9.11,9.2425,8.72,8.77,10.7188,10.0446,10.7434,167.626k,170.848k
,Tu,12/19/2017,9.05,9.23,8.92,9.09,10.7472,10.0696,10.7498,237.348k,167.93k
,Mo,12/18/2017,9.15,9.44,8.86,9.05,10.7792,10.0909,10.7541,251.69k,162.438k
